persuader_id,is_world_champion,is_world_champion_evidence,is_continental_champion,is_continental_champion_evidence,is_continental_champion_any_division,is_continental_champion_any_division_evidence,reached_continental_semis_or_better,reached_continental_semis_or_better_evidence,reached_major_semis_or_better,reached_major_semis_or_better_evidence,is_best_speaker_at_major,is_best_speaker_at_major_evidence,is_continental_finalist,is_continental_finalist_evidence
anon_0057317,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
anon_0057321,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057322,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057323,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057324,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057325,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,
anon_0057337,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057338,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057346,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,
anon_0057353,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057358,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,
